customer_id,first_name,last_name,email,phone,city,state,created_at
100075,Yuvraj,Singh,,5676547700,Rajahmundry,Goa,2026-05-30 16:55:54
100078,,Char,,4841383620,Dhule,Bihar,2026-05-16 09:15:39
100098,Warhi,Comar,,4745326729,Thane,Telangana,2026-02-11 06:24:08
100113,,Batta,hamsini87@example.net,2504467887,Bhatpara,Maharashtra,2026-02-11 20:15:43
100127,,Nath,tanmayibail@example.net,1837180858,Darbhanga,Goa,2026-05-20 20:36:52
100188,,Toor,ykulkarni@example.net,4145633405,Thiruvananthapuram,Rajasthan,2026-05-25 11:03:23
100201,,Mohan,jyohannan@example.net,5198375084,Phagwara,Maharashtra,2026-05-03 10:35:52
100203,,Patel,bhatiajanya@example.org,931687336,Shivpuri,Arunachal Pradesh,2026-03-31 19:48:59
100207,Owen,Prakash,,8229692046,Sikar,Maharashtra,2026-06-28 09:22:02
100247,Om,Kakar,,258394480,Surat,Gujarat,2026-01-23 12:11:10
100252,Kiaan,Varghese,,1005973363,Noida,Mizoram,2026-03-15 01:17:57
100313,,Bose,hmanne@example.net,9993579806,Sangli-Miraj & Kupwad,Kerala,2026-06-19 19:56:25
100341,Hemangini,Devan,,3796863161,Tumkur,Karnataka,2026-02-11 02:45:35
100423,Omkaar,Kothari,,2127636104,Bihar Sharif,Himachal Pradesh,2026-06-22 21:18:17
100424,Nathaniel,De,,7965344854,Gangtok,Himachal Pradesh,2026-01-02 07:44:55
100444,,Sachdeva,lakshmi79@example.com,2672764861,Bettiah,Madhya Pradesh,2026-03-01 13:37:54
100536,,Khosla,tnigam@example.org,9825956716,Bhusawal,Gujarat,2026-05-31 21:54:57
100594,,Golla,bumbmax@example.org,8637177318,Kishanganj,Assam,2026-06-07 23:53:34
100604,,Kalla,pvenkatesh@example.net,6140115940,Phusro,Uttar Pradesh,2026-02-04 08:42:25
100605,David,Patla,,5867595559,Bilaspur,West Bengal,2026-05-15 20:29:19
100613,Shivani,Kara,,7015947012,Haridwar,Mizoram,2026-03-24 12:18:16
100622,,Vasa,dateikshita@example.net,5814733811,Ajmer,Jharkhand,2026-02-01 12:12:24
100628,Kevin,Kala,,368967553,Vijayawada,Odisha,2026-02-25 17:37:40
100637,Januja,Pall,,9377678561,Hindupur,Punjab,2026-02-03 14:09:25
100669,Sanya,Upadhyay,,7332410833,Sirsa,Tamil Nadu,2026-04-19 06:44:26
100714,,Halder,zaidranganathan@example.com,7979271387,Katihar,West Bengal,2026-06-22 05:50:47
100723,,Golla,zachariachaitaly@example.net,2711116022,Phagwara,Haryana,2026-04-29 03:11:48
100746,Libni,Gola,,4198585228,Jaipur,Karnataka,2026-04-08 20:13:37
100823,,Karan,gsandal@example.org,9940160495,Alwar,Manipur,2026-06-24 19:43:41
100825,,Misra,leelabrahmbhatt@example.com,7882676012,Patiala,Sikkim,2026-06-01 06:42:28
100906,,Sur,kohlihemangini@example.com,441026725,Tumkur,Karnataka,2026-04-19 23:05:54
100946,,Radhakrishnan,suleisaac@example.com,304120645,Bhind,Manipur,2026-03-17 19:51:16
100952,Priya,Edwin,,8991540961,Bongaigaon,Odisha,2026-03-26 02:01:49
100979,Agastya,Krishnan,,5378341657,Suryapet,West Bengal,2026-05-06 05:08:17
100981,,Comar,,5787963129,Raurkela Industrial Township,Himachal Pradesh,2026-06-26 04:14:26
101022,,Walla,ishwarkapadia@example.net,3878574274,Patna,Mizoram,2026-01-20 01:33:21
101034,Devika,Basu,,1219234546,Deoghar,Rajasthan,2026-01-24 08:47:36
101050,,Andra,qratti@example.org,1549944687,Jalna,Meghalaya,2026-04-08 02:57:27
101060,,Pal,kcheema@example.net,8435259263,Jehanabad,Nagaland,2026-06-22 16:06:04
101143,Aryan,Randhawa,,7359604284,Ludhiana,Maharashtra,2026-05-06 07:47:01
101188,Yash,Khare,,3293387159,Khandwa,Mizoram,2026-06-07 23:43:45
101194,Mugdha,Solanki,,8737369559,Naihati,Goa,2026-04-30 05:05:07
101237,Omya,Sinha,,147744833,Shimoga,Uttarakhand,2026-05-12 07:48:35
101248,Manbir,Dasgupta,,6437432084,Surendranagar Dudhrej,Andhra Pradesh,2026-04-09 17:20:33
101303,,Golla,sherekai@example.org,490866902,Ulhasnagar,Odisha,2026-06-30 14:16:17
101305,Vasudha,Sharma,,8577490819,Bareilly,Nagaland,2026-02-09 02:01:58
101347,,Gour,kantyahvi@example.org,1330720671,Srinagar,Bihar,2026-03-15 20:45:55
101374,,Narula,sdave@example.org,4487508914,Begusarai,Tamil Nadu,2026-05-30 03:14:27
101394,Neel,Sharma,,5770822950,Jodhpur,Himachal Pradesh,2026-01-28 04:36:19
101450,,Wason,bathbalhaar@example.com,6273349241,Kavali,Sikkim,2026-06-03 12:31:07
101498,,Behl,sai61@example.net,3013739821,Satna,Bihar,2026-04-09 14:29:46
